"Полож.пед.акселер.,%","Давл.масла двиг.,кПа","Темп.масла двиг.,°С","Обор.двиг.,об/мин","Значение счетчика моточасов, час:мин",Сост.пед.сцепл.,КПП. Температура масла,КПП. Давление масла в системе смазки,Скорость,ДВС. Давление смазки,ДВС. Температура охлаждающей жидкости,"Давление в пневмостистеме (spn46), кПа",Уровень топлива % (spn96),Электросистема. Напряжение,ДВС. Частота вращения коленчатого вала,predict
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
,,,,,1.0,,,,,,,,,,2
0.0,0,,0.0,,1.0,,,0,0,25,,,,0,1
,,,,,1.0,,,,,,,,,,2
0.0,448,,702.25,64742.0,1.0,,1200,0,448,25,648,,28.25,702.25,1
0.0,440,,689.5,64742.0,1.0,,1200,0,440,26,776,,,689.5,1
0.0,428,,678.625,64742.0,1.0,,1200,0,428,27,784,,,678.625,1
0.0,420,,669.0,64742.0,1.0,,1200,0,420,28,784,,,669,1
0.0,388,,650.75,64742.0,1.0,,1200,0,388,30,784,,,650.75,1
0.0,380,,648.0,64742.0,1.0,,1200,0,380,31,784,,,648,1
0.0,360,,648.5,64748.0,1.0,,1200,0,360,33,784,,,648.5,1
0.0,348,,649.375,64748.0,1.0,,1200,0,348,33,784,,,649.375,1
0.0,340,,651.625,64748.0,1.0,,1200,0,340,34,784,,,651.625,1
0.0,340,,653.5,64748.0,1.0,,1200,0,340,34,784,,,653.5,1
0.0,320,,651.5,64748.0,1.0,,1200,0,320,36,784,,,651.5,1
0.0,320,,651.375,64748.0,1.0,,1200,0,320,37,784,,,651.375,1
0.0,308,,648.25,64748.0,1.0,,1200,0,308,37,784,,,648.25,1
0.0,300,,649.625,64748.0,1.0,,1200,0,300,38,784,,,649.625,1
0.0,300,,650.0,64748.0,1.0,,1200,0,300,39,784,,,650,1
0.0,288,,653.125,64748.0,1.0,,1200,0,288,40,784,,,653.125,1
0.0,288,,651.0,64748.0,1.0,,1200,0,288,41,784,,,651,1
0.0,280,,646.0,64748.0,1.0,,1200,0,280,42,784,,,646,1
0.0,280,,653.125,64754.0,1.0,,1200,0,280,42,784,,,653.125,1
0.0,268,,649.5,64754.0,1.0,,1200,0,268,43,784,,,649.5,1
0.0,268,,651.875,64754.0,1.0,,1200,0,268,44,784,,,651.875,1
0.0,260,,652.75,64754.0,1.0,,1200,0,260,44,784,,,652.75,1
0.0,260,,648.5,64754.0,1.0,,1200,0,260,45,784,,,648.5,1
0.0,260,,646.0,64754.0,1.0,,1200,0,260,45,784,,,646,1
0.0,248,,654.75,64754.0,1.0,,1200,0,248,46,784,,,654.75,1
0.0,248,,647.375,64754.0,1.0,,1200,0,248,46,784,,,647.375,1
0.0,240,,649.875,64754.0,1.0,,1200,0,240,47,784,,,649.875,1
0.0,240,,651.0,64754.0,1.0,,1200,0,240,48,784,,,651,1
0.0,240,,651.625,64754.0,1.0,,1200,0,240,48,784,,,651.625,1
0.0,228,,654.0,64754.0,1.0,,1200,0,228,49,784,,,654,1
0.0,228,,654.375,64800.0,1.0,,1200,0,228,50,784,,,654.375,1
0.0,228,,651.5,64800.0,1.0,,1200,0,228,50,784,,,651.5,1
0.0,220,,654.375,64800.0,1.0,,1200,0,220,51,784,,,654.375,1
0.0,220,,651.625,64800.0,1.0,,1200,0,220,51,784,,,651.625,1
0.0,220,,652.25,64800.0,1.0,,1200,0,220,52,784,,,652.25,1
0.0,220,,647.0,64800.0,1.0,,1200,0,220,52,784,,,647,1
0.0,220,,648.5,64800.0,1.0,,1200,0,220,52,784,,,648.5,1
0.0,220,,647.125,64800.0,1.0,,1200,0,220,53,664,,,647.125,1
45.2,448,,1207.375,64800.0,1.0,,1200,5.3,448,53,816,,,1207.375,1
58.0,500,,1360.125,64800.0,1.0,,1200,0,500,54,816,,,1360.125,1
72.4,540,,1513.0,64800.0,1.0,,1216,7.6,540,58,784,,,1513,1
73.6,528,,1592.125,64800.0,1.0,,1200,0,528,62,784,,,1592.125,1
75.2,528,,1631.0,64806.0,1.0,,1200,8.8,528,65,784,,,1631,1
76.0,520,,1638.875,64806.0,1.0,,1200,8.8,520,69,784,,,1638.875,1
80.8,520,,1702.0,64806.0,1.0,,1216,11.2,520,71,784,,,1702,1
76.4,500,,1677.0,64806.0,1.0,,1200,13,500,74,784,,28.15,1677,1
75.2,488,,1598.625,64806.0,1.0,,1200,12.7,488,74,784,,28.15,1598.625,1
75.2,468,,1628.625,64806.0,1.0,,1200,12.7,468,74,784,,,1628.625,1
72.8,460,,1546.0,64806.0,1.0,,1200,12.2,460,75,784,,,1546,1
0.0,140,,653.0,64806.0,1.0,,80,4.1,140,75,784,,,653,1
28.0,228,,901.0,64806.0,1.0,,1168,4.2,228,76,784,,28.05,901,1
63.2,400,,1451.125,64806.0,1.0,,1120,10.9,400,76,784,,28.05,1451.125,1
72.0,448,,1570.75,64806.0,1.0,,1200,12.4,448,78,800,,28,1570.75,1
71.6,440,,1536.75,64806.0,1.0,,1200,12.2,440,79,800,,,1536.75,1
73.2,440,,1581.0,64812.0,1.0,,1200,12.4,440,81,800,,28.05,1581,1
74.0,440,,1624.125,64812.0,1.0,,1200,12.6,440,82,800,,28,1624.125,1
74.4,440,,1613.0,64812.0,1.0,,1200,12.6,440,81,800,,28,1613,1
73.2,428,,1616.25,64812.0,1.0,,1200,12.5,428,82,800,,27.9,1616.25,1
28.8,220,,1039.75,64812.0,1.0,,1136,0,220,82,800,,27.95,1039.75,1
21.6,200,,838.75,64812.0,1.0,,1168,0,200,81,800,,27.9,838.75,1
72.4,428,,1627.5,64812.0,1.0,,1200,12.5,428,81,800,,27.95,1627.5,1
73.6,424,,1569.75,64812.0,1.0,,1200,0,424,82,800,,27.95,1569.75,1
75.6,428,,1618.5,64812.0,1.0,,1200,12.7,428,82,800,,27.95,1618.5,1
74.4,432,,1651.5,64812.0,1.0,,1200,12.8,432,82,800,,27.95,1651.5,1
73.6,408,,1596.5,64812.0,1.0,,1200,12.4,408,82,800,,,1596.5,1
74.8,412,,1609.0,64812.0,1.0,,1200,12.6,412,83,800,,27.95,1609,1
73.6,416,,1604.125,64818.0,1.0,,1200,0,416,83,768,,27.95,1604.125,1
47.6,280,,1226.375,64818.0,1.0,,1168,0,280,83,768,,27.95,1226.375,1
70.4,396,,1533.75,64818.0,1.0,,1200,0,396,82,768,,27.95,1533.75,1
72.4,404,,1576.0,64818.0,1.0,,1200,12.3,404,82,768,,27.9,1576,1
72.0,396,,1541.875,64818.0,1.0,,1200,12.2,396,83,768,,27.95,1541.875,1
73.6,404,,1600.875,64818.0,1.0,,1200,0,404,82,768,,27.85,1600.875,1
73.6,408,,1620.75,64818.0,1.0,,1200,12.5,408,83,768,,27.95,1620.75,1
75.6,420,,1674.0,64818.0,1.0,,1200,12.9,420,82,768,,27.95,1674,1
75.2,412,,1623.0,64818.0,1.0,,1200,0,412,82,768,,,1623,1
4.8,120,,688.875,64818.0,1.0,,1120,0,120,83,768,,27.85,688.875,1
59.6,328,,1427.25,64818.0,1.0,,1168,11,328,83,768,,27.9,1427.25,1
68.4,380,,1515.0,64818.0,1.0,,1200,11.8,380,82,768,,27.95,1515,1
72.8,400,,1579.25,64824.0,1.0,,1200,0,400,83,768,,27.85,1579.25,1
74.4,408,,1624.125,64824.0,1.0,,1200,12.8,408,83,768,,27.9,1624.125,1
73.2,396,,1593.25,64824.0,1.0,,1184,12.5,396,83,768,,27.95,1593.25,1
72.4,388,,1549.0,64824.0,1.0,,1200,0,388,82,768,,27.95,1549,1
74.4,400,,1578.125,64824.0,1.0,,1200,12.6,400,83,768,,27.95,1578.125,1
47.6,332,,1277.125,64824.0,1.0,,1184,10.6,332,83,768,,,1277.125,1
57.2,284,,1289.875,64824.0,1.0,,1152,9.9,284,83,768,,27.9,1289.875,1
73.2,396,,1606.375,64824.0,1.0,,1168,12.4,396,83,768,,27.85,1606.375,1
74.4,400,,1597.5,64824.0,1.0,,1184,12.6,400,82,768,,,1597.5,1
75.2,400,,1644.625,64824.0,1.0,,1184,12.7,400,82,768,,27.85,1644.625,1
74.0,392,,1586.75,64824.0,1.0,,1200,0,392,83,768,,27.9,1586.75,1
72.4,392,,1628.625,64824.0,1.0,,1168,12.5,392,83,768,,27.95,1628.625,1
74.4,388,,1621.875,64830.0,1.0,,1168,12.6,388,83,768,,27.9,1621.875,1
74.4,400,,1629.75,64830.0,1.0,,1184,12.7,400,82,768,,27.9,1629.75,1
38.4,240,,1103.375,64830.0,1.0,,1136,0,240,83,768,,27.9,1103.375,1
39.6,248,,1181.25,64830.0,1.0,,1136,9.1,248,83,768,,,1181.25,1
0.0,116,,648.0,64830.0,1.0,,1168,0,116,81,768,,27.75,648,1
0.0,108,,652.75,64830.0,1.0,,1168,0,108,80,768,,27.8,652.75,1
32.4,240,,1013.125,64830.0,1.0,,1136,0,240,78,664,,27.8,1013.125,1
44.8,236,,1100.75,64830.0,1.0,,1136,5.5,236,77,760,,,1100.75,1
72.8,416,,1620.75,64830.0,1.0,,1184,0,416,80,784,,,1620.75,1
72.8,400,,1572.875,64830.0,1.0,,1184,0,400,81,784,,27.95,1572.875,1
72.4,388,,1586.75,64830.0,1.0,,1184,12.2,388,83,784,,27.85,1586.75,1
70.0,388,,1564.5,64830.0,1.0,,1168,12.2,388,83,784,,27.95,1564.5,1
72.8,400,,1598.625,64836.0,1.0,,1200,12.5,400,83,784,,,1598.625,1
71.2,388,,1569.75,64836.0,1.0,,1184,12.2,388,83,784,,,1569.75,1
29.6,208,,1011.875,64836.0,1.0,,1152,0,208,83,784,,27.9,1011.875,1
63.2,360,,1451.125,64836.0,1.0,,1184,0,360,83,784,,27.9,1451.125,1
70.4,380,,1568.0,64836.0,1.0,,1200,12.1,380,82,784,,27.9,1568,1
74.0,400,,1610.75,64836.0,1.0,,1184,0,400,83,784,,27.9,1610.75,1
71.6,388,,1579.25,64836.0,1.0,,1184,12.1,388,82,784,,,1579.25,1
72.8,388,,1559.25,64836.0,1.0,,1184,0,388,83,784,,27.9,1559.25,1
72.0,396,,1623.0,64836.0,1.0,,1168,12.6,396,83,784,,27.9,1623,1
72.4,388,,1591.0,64836.0,1.0,,1184,0,388,83,784,,27.85,1591,1
6.4,200,,874.125,64836.0,1.0,,1136,7.8,200,83,784,,27.9,874.125,1
40.8,248,,1134.375,64836.0,1.0,,1136,0,248,83,784,,27.85,1134.375,1
68.8,400,,1502.375,64842.0,1.0,,1168,12.1,400,82,784,,27.9,1502.375,1
67.6,360,,1532.75,64842.0,1.0,,1168,11.9,360,82,784,,27.85,1532.75,1
77.2,400,,1597.5,64842.0,1.0,,1168,0,400,83,784,,,1597.5,1
74.4,400,,1629.75,64842.0,1.0,,1168,12.9,400,83,784,,27.85,1629.75,1
74.4,400,,1599.75,64842.0,1.0,,1168,12.5,400,83,784,,27.9,1599.75,1
73.2,400,,1592.125,64842.0,1.0,,1184,12.7,400,83,784,,27.85,1592.125,1
75.6,388,,1577.125,64842.0,1.0,,1184,0,388,83,800,,,1577.125,1
17.6,148,,858.75,64842.0,1.0,,1136,6.7,148,83,768,,27.8,858.75,1
62.0,340,,1461.0,64842.0,1.0,,1168,0,340,83,768,,27.9,1461,1
68.4,368,,1581.0,64842.0,1.0,,1168,0,368,82,768,,27.9,1581,1
69.6,380,,1617.375,64842.0,1.0,,1184,12.4,380,83,768,,27.9,1617.375,1
69.6,380,,1566.5,64842.0,1.0,,1168,12.4,380,83,768,,27.95,1566.5,1
70.4,368,,1544.875,64848.0,1.0,,1168,12.2,368,83,768,,27.9,1544.875,1
72.4,380,,1614.0,64848.0,1.0,,1168,12.5,380,83,768,,27.9,1614,1
76.0,388,,1644.0,64848.0,1.0,,1168,12.6,388,83,768,,27.9,1644,1
73.6,380,,1593.25,64848.0,1.0,,1168,12.4,380,83,768,,27.9,1593.25,1
30.8,200,,952.625,64848.0,1.0,,1136,7.7,200,83,768,,,952.625,1
25.6,180,,878.0,64848.0,1.0,,1120,7,180,83,768,,27.85,878,1
71.6,380,,1526.75,64848.0,1.0,,1168,12.1,380,82,768,,27.9,1526.75,1
70.8,380,,1517.875,64848.0,1.0,,1168,0,380,83,768,,27.9,1517.875,1
70.8,380,,1555.125,64848.0,1.0,,1168,12.3,380,83,768,,27.9,1555.125,1
73.2,380,,1603.0,64848.0,1.0,,1168,12.5,380,83,768,,27.95,1603,1
72.4,388,,1562.5,64848.0,1.0,,1184,0,388,83,768,,,1562.5,1
72.4,380,,1567.625,64848.0,1.0,,1184,12.3,380,83,768,,27.9,1567.625,1
40.0,288,,1181.25,64854.0,1.0,,1168,0,288,83,768,,27.85,1181.25,1
39.2,228,,1093.5,64854.0,1.0,,1152,8.6,228,83,768,,27.9,1093.5,1
68.8,360,,1534.75,64854.0,1.0,,1168,0,360,83,768,,27.85,1534.75,1
71.6,380,,1577.125,64854.0,1.0,,1184,12.4,380,83,768,,27.95,1577.125,1
71.2,368,,1591.0,64854.0,1.0,,1168,0,368,83,768,,27.85,1591,1
70.4,380,,1557.0,64854.0,1.0,,1168,12.3,380,83,768,,27.9,1557,1
70.0,360,,1546.0,64854.0,1.0,,1184,0,360,83,768,,27.85,1546,1
70.4,360,,1597.5,64854.0,1.0,,1168,12.1,360,83,768,,27.9,1597.5,1
72.8,380,,1621.875,64854.0,1.0,,1168,0,380,83,768,,27.85,1621.875,1
57.6,300,,1333.0,64854.0,1.0,,1168,10.4,300,83,768,,27.9,1333,1
17.6,180,,847.5,64854.0,1.0,,1120,0,180,82,768,,27.8,847.5,1
74.8,400,,1607.0,64854.0,1.0,,1184,0,400,83,768,,27.9,1607,1
74.4,388,,1640.0,64900.0,1.0,,1184,0,388,83,768,,27.85,1640,1
74.8,388,,1617.375,64900.0,1.0,,1200,12.7,388,83,768,,27.9,1617.375,1
76.4,400,,1632.0,64900.0,1.0,,1184,0,400,83,768,,27.85,1632,1
